Alias,PointName,Geom,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,Northing,Easting,EllipsoidHeight,Elevation,SemiMajorAxis,SemiMinorAxis,CircularError95,Orientation,HeightError,SigmaX,SigmaY,SigmaZ,AdjustmentDate,AdjustmentSource,Network,RiverNetwork,RiverMile,DatabaseName,PointCode,PointUse,Monumentation,Constrained,SpatialReferenceId
021_886L,CTH021886.459L,POINT (227581 622721 901.282),36.614635437,-111.757687644,,,622720.68045,227580.66481,901.28236,901.28236,0.01502,0.01298,,11°59'06",,0.015,0.013,0.016,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,21.886,COR021886.459L,CTH,Horizontal Check,NOT MONUMENTED,False,1
021_887L,CTH021886.572L,POINT (227581 622720 901.357),36.614633367,-111.757678965,,,622720.452,227581.44151,901.35746,901.35746,0.01502,0.013,,11°31'45",,0.015,0.013,0.016,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,21.887,COR021886.572L,CTH,Horizontal Check,NOT MONUMENTED,False,1
021_888L,CTH021887.782L,POINT (227578 622719 900.288),36.614617438,-111.7577122,,,622718.67959,227578.47163,900.28815,900.28815,0.01499,0.01283,,13°22'09",,0.015,0.013,0.016,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,21.888,COR021887.782L,CTH,Horizontal Check,NOT MONUMENTED,False,1
021_948R,CTH021947.929R,POINT (227422 622636 894.981),36.613872864,-111.7594627,,,622635.8044,227422.02447,894.98089,894.98089,0.01297,0.00035,,22°19'23",,0.012,0.005,0,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,21.948,COR021947.929R,CTH,Horizontal Check,NOT MONUMENTED,False,1
021_966R,CTH021966.456R,POINT (227426 622617 884.572),36.613701922,-111.759417644,,,622616.8434,227426.08581,884.57172,884.57172,0.01289,0.0016,,-65°43'12",,0.005,0.012,0.002,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,21.966,COR021966.456R,CTH,Horizontal Check,NOT MONUMENTED,False,1
022L,CTH021999.941L,POINT (227513 622517 886.119),36.612803371,-111.758452548,,,622517.28247,227512.57891,886.11898,886.11898,0.02514,0.01463,,-51°10'42",,0.019,0.022,0.015,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,22,COR021999.941L,CTH,Horizontal Check,NOT MONUMENTED,False,1
022_011R,CTH022011.348R,POINT (227374 622570 885.571),36.613281392,-111.759999354,,,622570.09656,227374.12737,885.57089,885.57089,0.03654,0.0201,,-2°32'47",,0.037,0.02,0.015,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,22.011,COR022011.348R,CTH,Horizontal Check,NOT MONUMENTED,False,1
022_018L,CTH022018.373L,POINT (227516 622478 911.684),36.612449851,-111.758414276,,,622478.06166,227516.06707,911.68407,911.68407,0.01239,0.00822,,33°52'19",,0.011,0.01,0.01,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,22.018,COR022018.373L,CTH,Horizontal Check,NOT MONUMENTED,False,1
022_02L,CTH022019.742L,POINT (227519 622474 912.815),36.612410439,-111.758377325,,,622473.69405,227519.3796,912.81516,912.81516,0.01261,0.00825,,30°51'26",,0.012,0.01,0.01,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,22.02,COR022019.742L,CTH,Horizontal Check,NOT MONUMENTED,False,1
022_06R,CTH022059.793R,POINT (227330 622507 889.719),36.612711289,-111.76049145,,,622506.76662,227330.2114,889.71922,889.71922,0.02516,0.01507,,55°17'41",,0.019,0.022,0.015,12/31/2012 12:00:00 AM,TGO,HardPoint,RM022,22.06,COR022059.793R,CTH,Horizontal Check,NOT MONUMENTED,False,1
